ID,Latitude,Longitude
4093166,11.04166667,-2.87500001
4093167,11.04166667,-2.79166667
4093181,11.04166667,-1.62500001
4097486,10.95833334,-2.87500001
4097487,10.95833334,-2.79166667
4097488,10.95833334,-2.70833334
4097489,10.95833334,-2.62500001
4097490,10.95833334,-2.54166667
4097491,10.95833334,-2.45833334
4097492,10.95833334,-2.37500001
4097493,10.95833334,-2.29166667
4097494,10.95833334,-2.20833334
4097495,10.95833334,-2.12500001
4097496,10.95833334,-2.04166667
4097497,10.95833334,-1.95833334
4097498,10.95833334,-1.87500001
4097499,10.95833334,-1.79166667
4097500,10.95833334,-1.70833334
4097501,10.95833334,-1.62500001
4101806,10.875,-2.87500001
4101807,10.875,-2.79166667
4101808,10.875,-2.70833334
4101809,10.875,-2.62500001
4101810,10.875,-2.54166667
4101811,10.875,-2.45833334
4101812,10.875,-2.37500001
4101813,10.875,-2.29166667
4101814,10.875,-2.20833334
4101815,10.875,-2.12500001
4101816,10.875,-2.04166667
4101817,10.875,-1.95833334
4101818,10.875,-1.87500001
4101819,10.875,-1.79166667
4101820,10.875,-1.70833334
4101821,10.875,-1.62500001
4106126,10.79166667,-2.87500001
4106127,10.79166667,-2.79166667
4106128,10.79166667,-2.70833334
4106129,10.79166667,-2.62500001
4106130,10.79166667,-2.54166667
4106131,10.79166667,-2.45833334
4106132,10.79166667,-2.37500001
4106133,10.79166667,-2.29166667
4106134,10.79166667,-2.20833334
4106135,10.79166667,-2.12500001
4106136,10.79166667,-2.04166667
4106137,10.79166667,-1.95833334
4106138,10.79166667,-1.87500001
4106139,10.79166667,-1.79166667
4106140,10.79166667,-1.70833334
4106141,10.79166667,-1.62500001
4110445,10.70833334,-2.95833334
4110446,10.70833334,-2.87500001
4110447,10.70833334,-2.79166667
4110448,10.70833334,-2.70833334
4110449,10.70833334,-2.62500001
4110450,10.70833334,-2.54166667
4110451,10.70833334,-2.45833334
4110452,10.70833334,-2.37500001
4110453,10.70833334,-2.29166667
4110454,10.70833334,-2.20833334
4110455,10.70833334,-2.12500001
4110456,10.70833334,-2.04166667
4110457,10.70833334,-1.95833334
4110458,10.70833334,-1.87500001
4110459,10.70833334,-1.79166667
4110460,10.70833334,-1.70833334
4110461,10.70833334,-1.62500001
4114765,10.625,-2.95833334
4114766,10.625,-2.87500001
4114767,10.625,-2.79166667
4114768,10.625,-2.70833334
4114769,10.625,-2.62500001
4114770,10.625,-2.54166667
4114771,10.625,-2.45833334
4114772,10.625,-2.37500001
4114773,10.625,-2.29166667
4114774,10.625,-2.20833334
4114775,10.625,-2.12500001
4114776,10.625,-2.04166667
4114777,10.625,-1.95833334
4114778,10.625,-1.87500001
4114779,10.625,-1.79166667
4114780,10.625,-1.70833334
4114781,10.625,-1.62500001
4119085,10.54166667,-2.95833334
4119086,10.54166667,-2.87500001
4119087,10.54166667,-2.79166667
4119088,10.54166667,-2.70833334
4119089,10.54166667,-2.62500001
4119090,10.54166667,-2.54166667
4119091,10.54166667,-2.45833334
4119092,10.54166667,-2.37500001
4119093,10.54166667,-2.29166667
4119094,10.54166667,-2.20833334
4119095,10.54166667,-2.12500001
4119096,10.54166667,-2.04166667
4119097,10.54166667,-1.95833334
4119098,10.54166667,-1.87500001
4119099,10.54166667,-1.79166667
4119100,10.54166667,-1.70833334
4119101,10.54166667,-1.62500001
4123406,10.45833334,-2.87500001
4123407,10.45833334,-2.79166667
4123408,10.45833334,-2.70833334
4123409,10.45833334,-2.62500001
4123410,10.45833334,-2.54166667
4123411,10.45833334,-2.45833334
4123412,10.45833334,-2.37500001
4123413,10.45833334,-2.29166667
4123414,10.45833334,-2.20833334
4123415,10.45833334,-2.12500001
4123416,10.45833334,-2.04166667
4123417,10.45833334,-1.95833334
4123418,10.45833334,-1.87500001
4123419,10.45833334,-1.79166667
4123420,10.45833334,-1.70833334
4123421,10.45833334,-1.62500001
4127726,10.375,-2.87500001
4127727,10.375,-2.79166667
4127728,10.375,-2.70833334
4127729,10.375,-2.62500001
4127730,10.375,-2.54166667
4127731,10.375,-2.45833334
4127732,10.375,-2.37500001
4127733,10.375,-2.29166667
4127734,10.375,-2.20833334
4127735,10.375,-2.12500001
4127736,10.375,-2.04166667
4127737,10.375,-1.95833334
4127738,10.375,-1.87500001
4127739,10.375,-1.79166667
4127740,10.375,-1.70833334
4127741,10.375,-1.62500001
4132046,10.29166667,-2.87500001
4132047,10.29166667,-2.79166667
4132048,10.29166667,-2.70833334
4132049,10.29166667,-2.62500001
4132050,10.29166667,-2.54166667
4132051,10.29166667,-2.45833334
4132052,10.29166667,-2.37500001
4132053,10.29166667,-2.29166667
4132054,10.29166667,-2.20833334
4132055,10.29166667,-2.12500001
4132056,10.29166667,-2.04166667
4132057,10.29166667,-1.95833334
4132058,10.29166667,-1.87500001
4132059,10.29166667,-1.79166667
4132060,10.29166667,-1.70833334
4132061,10.29166667,-1.62500001
4136367,10.20833334,-2.79166667
4136368,10.20833334,-2.70833334
4136369,10.20833334,-2.62500001
4136370,10.20833334,-2.54166667
4136371,10.20833334,-2.45833334
4136372,10.20833334,-2.37500001
4136373,10.20833334,-2.29166667
4136374,10.20833334,-2.20833334
4136375,10.20833334,-2.12500001
4136376,10.20833334,-2.04166667
4136377,10.20833334,-1.95833334
4136378,10.20833334,-1.87500001
4136379,10.20833334,-1.79166667
4136380,10.20833334,-1.70833334
4136381,10.20833334,-1.62500001
4140687,10.125,-2.79166667
4140688,10.125,-2.70833334
4140689,10.125,-2.62500001
4140690,10.125,-2.54166667
4140691,10.125,-2.45833334
4140692,10.125,-2.37500001
4140693,10.125,-2.29166667
4140694,10.125,-2.20833334
4140695,10.125,-2.12500001
4140696,10.125,-2.04166667
4140697,10.125,-1.95833334
4140698,10.125,-1.87500001
4140699,10.125,-1.79166667
4140700,10.125,-1.70833334
4140701,10.125,-1.62500001
4145007,10.04166667,-2.79166667
4145008,10.04166667,-2.70833334
4145009,10.04166667,-2.62500001
4145010,10.04166667,-2.54166667
4145011,10.04166667,-2.45833334
4145012,10.04166667,-2.37500001
4145013,10.04166667,-2.29166667
4145014,10.04166667,-2.20833334
4145015,10.04166667,-2.12500001
4145016,10.04166667,-2.04166667
4145017,10.04166667,-1.95833334
4145018,10.04166667,-1.87500001
4145019,10.04166667,-1.79166667
4145020,10.04166667,-1.70833334
4145021,10.04166667,-1.62500001
4149327,9.95833334,-2.79166667
4149328,9.95833334,-2.70833334
4149329,9.95833334,-2.62500001
4149330,9.95833334,-2.54166667
4149331,9.95833334,-2.45833334
4149332,9.95833334,-2.37500001
4149333,9.95833334,-2.29166667
